Sample ID,Nu Cluster,Type,Latitude,Longitude,Depth (m),Elevation,Distance to land (km),MAAT,pH,744,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
P324,Peat-type,P,46.2,8,NA,1845,0,5.5,NA,,0,0,0,0,0,0,1612445,225567,0,0,18005147,0,185975,0,100781,0,24038897,559332,167341
P325,Peat-type,P,46.8,7.8,NA,1260,0,10.8,NA,,0,0,0,0,0,0,1740362,0,0,0,15142504,0,159282,0,84853,0,82891232,1227360,1302301
P326,Peat-type,P,-0.4,35.8,NA,2901,0,9.8,NA,,16178293,324802,311982,81323,147085,0,17500080,0,121769,0,95613029,0,3428590,0,2059023,0,136998665,9432135,2974700
P327,Peat-type,P,-0.4,35.8,NA,2901,0,9.8,NA,,13368760,380816,193414,51815,207650,0,13422336,2216066,73778,0,75312619,10444711,2772974,385017,1604146,0,175052873,8160287,2387624
P328,Peat-type,P,-0.4,35.8,NA,2901,0,9.8,NA,,3444452,146644,80532,19233,115280,0,5214456,0,119337,0,52537962,0,1606859,0,1638402,0,40762089,2447659,781428
P329,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,604850,79351,100052,32978,536524,53884,139692,66293,0,0,2155193,218794,56087,21316,30566,0,19608606,826493,244282
P330,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,2235420,438946,454212,179403,3317745,83623,605175,178759,0,0,7575501,1579847,332217,100225,246779,0,59006285,3143565,952331
P331,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,2663111,222111,206942,63047,919198,18227,703908,321489,0,0,6968484,1666769,429506,118834,342321,0,30991744,2158545,832143
P332,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,2464271,212088,176319,83721,367650,20285,408496,172899,12169,0,4907530,1245165,318002,45339,288467,0,16227741,1131423,546685
P333,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,8603914,480653,406297,138085,416639,30105,1384303,564856,0,0,10698699,2533734,466168,69236,211736,0,30041006,1725702,621999
P334,Peat-type,P,-1,34,NA,1192,0,22.5,NA,,10713912,610848,477391,138188,1468242,25560,1441682,500399,13436,15111,9498507,1223254,313330,36664,113811,11841,25325678,802892,220735
